1788741967.330723297	.014694530	volume	1788741967329741515	0
1788741967.359681041	.587435885	run	1788741967358811075	0
1788741967.962924375	.014366238	volume	1788741967961948471	0
1788741967.992009970	.595970747	run	1788741967991028047	0
1788741968.605969819	.018120869	volume	1788741968604723479	0
1788741968.640348493	.554699074	run	1788741968639088923	0
1788741969.406218448	.015482212	volume	1788741969405339029	0
1788741969.456861117	.542833236	run	1788741969455686474	0
1788741970.085929276	.017217294	volume	1788741970084568465	0
1788741970.086824088	.016275051	volume	1788741970085625710	0
1788741970.090029255	.015110444	volume	1788741970089071429	0
1788741970.090903016	.014451695	volume	1788741970089532500	0
1788741970.142002289	.625077303	run	1788741970140927897	0
1788741970.163607173	.646238493	run	1788741970162475376	0
1788741970.854155005	.014720779	volume	1788741970853207804	0
1788741970.141817251	.741202478	run	1788741970140882619	0
1788741970.144797401	.748174154	run	1788741970143698162	0
1788741970.894612006	.015000559	volume	1788741970893796142	0
1788741970.965294802	.015235711	volume	1788741970964423214	0
1788741970.976381490	.015084505	volume	1788741970975483223	0
1788741970.906359856	.532305276	run	1788741970905277022	0
1788741971.456681654	.014634371	volume	1788741971455677358	0
1788741970.945188134	.641688698	run	1788741970944229616	0
1788741971.018378291	.600851637	run	1788741971017147995	0
1788741971.605537621	.015710254	volume	1788741971604653645	0
1788741971.641275354	.015229963	volume	1788741971640328794	0
1788741971.041160632	.645865713	run	1788741971039997427	0
1788741971.840060889	.014747570	volume	1788741971839110113	0
1788741971.890292751	.445333739	run	1788741971889197658	0
1788741972.764630997	.015816863	volume	1788741972763527852	0
1788741972.796070242	.531231124	run	1788741972795009851	0
1788741973.342527384	.015721390	volume	1788741973341650619	0
1788741973.372643605	.542642050	run	1788741973371785547	0
1788741973.931346153	.016221461	volume	1788741973930566013	0
1788741973.963128183	.537230403	run	1788741973962031949	0
1788741974.666203554	.015007810	volume	1788741974665321281	0
1788741974.718856888	3.445858553	run	1788741974718009858	0
1788741978.255404775	.016624889	volume	1788741978254502899	0
1788741978.308055844	.407327870	run	1788741978306761709	0
1788741978.731769984	.014167545	volume	1788741978730813657	0
1788741978.780771708	.452693409	run	1788741978779774349	0
1788741979.254420925	.014520987	volume	1788741979253533992	0
1788741979.304129442	.443234861	run	1788741979303274136	0
