1788742123.227661642	.017437419	volume	1788742123226689340
1788742123.260383185	.610137661	run	1788742123259189150
1788742123.885206450	.015391374	volume	1788742123884346517
1788742123.914233820	.505443828	run	1788742123913265034
1788742124.434919638	.014705083	volume	1788742124434004622
1788742124.463762972	.521870558	run	1788742124462848157
1788742125.201645505	.014223459	volume	1788742125200695347
1788742125.250974882	.562364533	run	1788742125250015420
1788742125.895923497	.015358004	volume	1788742125894702081
1788742125.896610780	.015248189	volume	1788742125895383765
1788742125.897150892	.014751232	volume	1788742125895945189
1788742125.896730019	.015112135	volume	1788742125895706000
1788742125.947342124	.547510717	run	1788742125946413748
1788742125.969111004	.612373051	run	1788742125968090130
1788742126.579479663	.015617524	volume	1788742126578519179
1788742125.968993427	.664232150	run	1788742125967986764
1788742125.969262562	.707236549	run	1788742125967923059
1788742126.665163082	.014473996	volume	1788742126663861536
1788742126.713937956	.014513995	volume	1788742126713090752
1788742126.760547383	.014165332	volume	1788742126759493669
1788742126.631725904	.521679460	run	1788742126630620182
1788742127.173338235	.014981449	volume	1788742127172423520
1788742126.714217766	.564562167	run	1788742126713311093
1788742126.811300660	.588464825	run	1788742126810284062
1788742126.765117933	.663136103	run	1788742126763712230
1788742127.418196228	.015765848	volume	1788742127417296666
1788742127.451211373	.014598713	volume	1788742127450383218
1788742127.545396722	.014745153	volume	1788742127544555728
1788742127.595927184	.418852513	run	1788742127595064046
1788742128.427765651	.014868829	volume	1788742128426810556
1788742128.456318559	.523349641	run	1788742128455472938
1788742128.993551528	.014760886	volume	1788742128992692436
1788742129.021326316	.533729473	run	1788742129020412783
1788742129.570438240	.015345125	volume	1788742129569517886
1788742129.599848977	.539008858	run	1788742129599003035
1788742130.290369631	.013801465	volume	1788742130289323899
1788742130.342664194	3.220409172	run	1788742130341661097
1788742133.644575782	.016522565	volume	1788742133643691823
1788742133.697316636	.409463470	run	1788742133696405096
1788742134.123409261	.013626242	volume	1788742134122103648
1788742134.171980969	.444419882	run	1788742134171080826
1788742134.635464516	.013150676	volume	1788742134634296170
1788742134.684454752	.391965419	run	1788742134683289070
